pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
90.13,-75.09,0.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,46.4K,smt
93.97,-90.48,90.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.00M,smt
98.12,-90.29,90.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,1K,tht
190.01,-134.355,180.0,top,RV101,,,Potentiometer_Bourns_3296W_Vertical,2K,tht
182.79,-116.65,0.0,top,RV102,,,Potentiometer_Bourns_3296W_Vertical,2K,tht
196.24,-59.4,0.0,top,RV2,,,Potentiometer_Bourns_3296W_Vertical,5K,tht
96.23,-77.145,0.0,top,U1,,,SOIC-8_3.9x4.9mm_P1.27mm,NE5534,smt
153.51,-135.85,180.0,top,U101,,,TO-220-3_Vertical,LM317HVT,tht
200.8,-134.46,0.0,top,U102,,,TO-92_Inline_Wide,TL431LP,tht
169.01,-116.7,0.0,top,U103,,,TO-92_Inline_Wide,TL431LP,tht
132.335,-117.575,0.0,top,U2,,,SO-8_3.9x4.9mm_P1.27mm,LF351D,smt
117.22,-76.8,0.0,top,U3,,,SOIC-8_3.9x4.9mm_P1.27mm,NE5534,smt
139.01,-76.72,0.0,top,U4,,,SOIC-8_3.9x4.9mm_P1.27mm,NE5534,smt
187.39,-50.55,0.0,top,U5,,,SOIC-8_3.9x4.9mm_P1.27mm,OPA1655D,smt
86.62,-109.51,0.0,top,U6,,,DIP-8_W7.62mm,6N137,tht
134.73,-107.12,0.0,top,VR1,,,D_SOD-123,5V1,smt
