Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,pn,Info,Volt,Sim.Device,Sim.Pins,Field6
"R32, R4, R5",3,10.0K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,RT0805BRD0710KL,"[R32]1%; [R4,R5]125mW Thin Film Resistor 150V ±25ppm/℃ ±0.1% 10kΩ 0805 Chip Resistor - Surface Mount ROHS",,,,
R39,1,5.6K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R40,1,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R41,1,510K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R44,1,56R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R45,1,680R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
"R46, R56",2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R47,1,8K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R48,1,7K5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
"R49, R57, R59",3,4K7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
"R50, R55",2,300R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
"R51, R52",2,1K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
"R53, R54",2,820R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R58,1,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R8,1,46.4K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,RC0805FR-0746K4L,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 46.4kΩ 0805 Chip Resistor - Surface Mount ROHS,,,,
RV1,1,1K,Potentiometer_Bourns_3296W_Vertical,,,,tht,Trim-potentiometer,,,,,,
"RV101, RV102",2,2K,Potentiometer_Bourns_3296W_Vertical,,,,tht,Trim-potentiometer,,,,,,
RV2,1,5K,Potentiometer_Bourns_3296W_Vertical,,,,tht,Trim-potentiometer,,,,,,
"TP1, TP105, TP4",3,GND,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP101,1,+12V,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP102,1,+VReg,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP103,1,-VReg,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP104,1,+16V,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP106,1,-16V,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP107,1,GNDD,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP2,1,AGC,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP3,1,Gen Out,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
TP5,1,Sine Out,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,,,,tht,test point,,,,,,
"U1, U3, U4",3,NE5534,SOIC-8_3.9x4.9mm_P1.27mm,,,,smt,"Single Low-Noise Operational Amplifiers, DIP-8/SOIC-8",NE5534DR,,,,,
U101,1,LM317HVT,TO-220-3_Vertical,,,,tht,"1.5A 35V Adjustable Linear Regulator, TO-220",,,,,,
"U102, U103",2,TL431LP,TO-92_Inline_Wide,,,,tht,"Shunt Regulator, TO-92",,,,,,
U2,1,LF351D,SO-8_3.9x4.9mm_P1.27mm,,,,smt,"Wide bandwidth single JFET operational amplifier, SOIC-8",LF351D,  3mV 4MHz 20pA SO-8 FET Input Amplifiers ROHS,,,,
U5,1,OPA1655D,SOIC-8_3.9x4.9mm_P1.27mm,,,,smt,"Single Ultra-Low-Noise, Low-Distortion, FET-Input, Burr-Brown Audio Operational Amplifiers, SOIC-8",,,,,,
U6,1,6N137,DIP-8_W7.62mm,,,,tht,"Single High Speed LSTTL/TTL Compatible Optocoupler with enable, dV/dt 1000/us, VCM 10, max 7V VCC, DIP-8",,,,,,
VR1,1,5V1,D_SOD-123,,,,smt,Zener diode,BZT52C5V1,5.1V 500mW Independent Type 4.8V~5.4V SOD-123 Zener Diodes ROHS,,,,
